ID,AGE,Gender,NATIONALITY,RESIDENCE,TYPE_CLIENT,HasCrdCard,IsActiveMember,MARITAL_STATUS,ONLINE_ACTUAL_BAL,Account-AGE,Excited,ACCOUNT_OFFICER,Id
"2954A0CC66194D10,110,female,TN,TN,PP,1,0,others,""€ 757,96"",41,0,61,55A2FD27BB52F47C7C8AD627ED9F8A53"
"30BB68AC7B3A2A3B,110,female,TN,TN,PP,1,0,MARIE,""€ 17760,67"",36,1,23,D84E7D2B7153C896B84186FEAEC56540"
"346D5D91178239E3,110,female,FR,FR,PP,0,0,others,""€ 2164,00"",30,0,61,51608E108DEE292B181B595B5ADC11CA"
"3F98F79F7AEF2689,110,female,TN,TN,PP,1,0,others,""€ 133,47"",43,0,61,3481DC0A26FE2F8074DD916CA2E45461"
"3FFF65FC0E60F76F,110,female,BE,TN,PP,0,1,others,""€ 2719,59"",23,1,61,35D9A6C120780EE1D049281429E53029"
"46F363F80100D457,110,female,BE,TN,PP,1,0,others,""€ 851,29"",24,0,61,7CFCD452234B7CFD00BE823CCF4E0BF2"
"4E8199D89D0696F2,110,male,TN,TN,PP,0,1,others,""€ 70,14"",43,1,61,09112DD4BD059D3E86271A98D6A96E9E"
"54FCDF22B02F9AA2,110,female,TN,TN,PP,1,0,MARIE,""€ 453,08"",41,1,20,BF744C0C4FE5FC6FE91582A4B54D7BC3"
"560EE5F3F021AF87,110,male,FR,FR,PP,0,1,others,""€ 320,30"",27,0,61,AE4EDF45097953C7E494CAAF2E7D7A60"
"570622078F02CC21,110,female,TN,TN,PP,1,0,others,""€ 55,55"",38,0,61,03E72D7FE55F112C9C65A0440BDA8D9F"
"575CD1C8214204AF,110,male,TN,TN,PP,0,1,others,""€ 13317,43"",23,1,66,397D6C535EDA6EC42EB67E607F1046C0"
"597BA9FC13E0DBD0,110,female,TN,TN,PP,1,0,others,""€ 39,33"",43,1,61,2CD53C9E1587B73C991921677987B4DA"
"5D9E06ED5273CE96,110,male,TN,TN,PP,1,1,others,""€ 5,05"",34,0,17,31209624ECE4B88BABA8B93F2513A8D4"
"5F81169D7D265E2C,110,male,BE,TN,PP,0,1,others,""€ 691,06"",28,1,61,4673631ADF9639B13EA8BE498E2296F3"
"634EE09ABC8B955D,110,female,TN,TN,PP,1,0,others,""€ 1602,13"",42,0,61,3D98BEAA1A7083899C057A4A6E7D485A"
"6377D2C7AD81C2A1,110,female,TN,TN,PP,0,1,others,""€ 121,31"",43,0,61,8BA7B494679840FB7E6F846C90D5DB0B"
"64DFFE00BB44E51C,110,male,TN,TN,PP,1,0,others,""€ 194,89"",43,1,61,23050D1E27FEBE839A0F34A53DDABF91"
"6CA520C3EDCB1DD5,110,female,FR,TN,PP,0,1,others,""€ 702,36"",34,1,67,2B9F8B7E712EFFE2174C6ED352A1972E"
"77364ABA44AB17EE,110,female,TN,TN,PP,0,0,others,""€ 171,79"",32,1,20,532A24CA4A1B2D8A4DE0D7CEDFF30C6B"
"7838838D32F8694C,110,female,FR,TN,PP,1,0,others,""€ 133,99"",23,0,61,7CFCD452234B7CFD146B5D00730D50A8"
"79C1E52581EB22E3,110,male,TN,TN,PP,0,1,others,""€ 26,28"",34,1,46,313C0ECF2B9BFE07B51EA0FD92DD1944"
"7F10DB477BD67D94,110,female,FR,FR,PP,1,0,others,""€ 3494,82"",30,1,61,51608E108DEE292BD10A79D11513E3CE"
"846DE59044F1A179,110,male,TN,TN,PP,1,0,others,""€ 41,26"",43,0,61,B2BA82E03EBA24551D3D0E03981892F0"
"85C3C32DA0F157B3,110,female,TN,TN,PP,0,0,others,""€ 375,29"",43,1,60,D0161AAFA1A529C5EEDE4957ED3F71FB"
"8C2471D4D0C78270,110,male,TN,TN,PP,1,1,others,""€ 1711,59"",43,1,61,D2AB72B98842BFF956F33F97700CB658"
"9215B924EDBAE6F2,110,female,TN,TN,PP,0,1,others,""€ 895,12"",43,1,61,8BA7B494679840FBBCEC15F7C66BD390"
"94DE9BBE35E37BC6,110,male,TN,TN,PP,1,1,others,""€ 113,64"",25,0,60,16F333970D4E2DACF54B95814C33287D"
"96D3BD91661AF4B6,110,male,FR,FR,PP,1,1,others,""€ 3834,38"",31,0,61,B0277C552EEE6992AB348D8D0A3159BE"
"99651BC44505489F,110,male,TN,TN,PP,0,0,others,""€ 294,36"",32,1,20,9F4720992AE48BB035FDA35876B622B9"
"9AE56E061B0F741B,110,male,FR,FR,PP,1,1,others,""€ 134,62"",32,1,60,2A32ABAEA4DD9F3AAF769C08651822A4"
"9AF2983EE21962A5,110,female,DZ,DZ,PP,0,0,others,""€ 6,24"",31,0,71,C35DA085AB6C1A7BA3AE5765C6B03668"
"9C569F9D060DF237,110,male,TN,TN,PP,1,0,others,""€ 633,86"",39,0,61,220F790167EC995A0637C6AE964AD77E"
"9E6DC5450DA4FD29,110,male,TN,TN,PP,1,1,others,""€ 187,78"",39,0,61,220F790167EC995A58D6488BE498BB77"
"A304383A4050B778,110,male,TN,TN,PP,0,1,others,""€ 97,09"",37,1,61,E46F5A26F1C597306EDDA399BFE635CA"
"A9B65DE742648E67,110,male,FR,FR,PP,1,0,others,""€ 2165,00"",30,1,61,85BCEBFE77BA8B1C2940A206825FC8CD"
"AD89883D375960E8,110,male,TN,TN,PP,1,0,others,""€ 98,22"",43,0,61,87E922B60FD3D0C9FC5041F38DA83805"
"B0533102557E0C16,110,female,TN,TN,PP,0,1,others,""€ 141,06"",43,0,61,D643CEA56381E47B065DAA11CB8C6099"
"B34D50E0DA1264D7,110,female,TN,TN,PP,1,0,others,""€ 404,29"",42,0,61,3BE41FA3704891C5B649396A2BFB648E"
"B52D92D423F1D36B,110,male,TN,TN,PP,1,1,others,""€ 16,96"",23,1,66,D2A5FC376470BB016C234F6AF9BA427D"
"B58836616D6BEB1A,110,male,FR,FR,PP,0,1,others,""€ 697,64"",31,1,60,64472F53F2768907585515B8DCE82B7A"
"B8C8ED14FB9F22B8,110,male,FR,FR,PP,1,1,others,""€ 807,27"",33,1,60,DC0384BFE47AB90B9C15EB18EAD27E28"
